"Data Source","WDI Database Archives",

"Last Updated Date","2019-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6446","7956","8910","9972","10522","10528","10304","9984","9882","10170","10426","10272","9344","8198","7168","6438","5894","5388","5062","4832","4768","4826","5038","4316","3460","","","",
"Angola","AGO","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21970","22498","22378","22112","20862","19698","18652","17826","17038","16234","15366","14298","12950","11592","10426","9428","8672","7894","7196","6492","5916","4806","3388","2496","1800","","","",
"Albania","ALB","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","648","564","384","252","240","252","288","300","324","360","432","528","624","720","756","804","828","840","780","708","624","","","","","","","",
"Andorra","AND","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3042.53679356117","3119.02077462067","3161.4247614678","3216.50466509975","3187.62991721227","3182.18524093352","3216.46216775339","3221.09045892782","3186.82464299491","3111.28118752109","3030.18175904175","3014.19500041646","3068.16062396739","3161.73944719452","3241.70557940721","3292.33719409781","3305.4857017887","3319.88593077363","3299.89190781487","3267.76839934202","2685.82743725414","2166.22149539659","1683.80089351912","1350.646080032","1021.97309937061","","","",
"United Arab Emirates","ARE","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","528","508","432","404","376","384","384","384","384","396","428","472","520","612","768","974","1138","1262","1360","1356","1348","1142","808","572","360","","","",
"Argentina","ARG","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","640","500","456","384","352","348","348","336","300","276","348","432","548","592","600","560","556","560","604","632","632","440","192","78","40","","","",
"Armenia","ARM","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5664","5888","7250","7992","6792","6008","5416","5556","6012","6640","6900","6472","5404","4060","2988","2264","1832","1676","1660","1748","1750","1678","1494","1170","820","","","",
"American Samoa","ASM","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1596","2032","2604","2936","3100","3128","3236","3364","3652","4000","4232","4040","3440","2900","2480","2332","2164","1992","1812","1592","800","","","","","","",
"Australia","AUS","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","144","144","144","144","144","156","168","168","144","132","120","120","108","96","84","72","60","60","48","48","","","","","","","",
"Austria","AUT","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","","","","","","","",
"Azerbaijan","AZE","Depth of the food deficit (kilocalories per person per day)","SN.ITK.DFCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5216","5242","6368","7038","7752","8424","8596","8636","7678","6252","4596","3408","2448","1748","1264","1012","948","916","904","820","708","572","456","338","240","","","",
